night;group_night;IdLabel;IdRFID;weight;sex;group;discard;cond
41;2;Ind17;04185D1858;10.16;f;mixed3;0;test
41;2;Ind18;04185D1DE6;9.55;f;mixed3;0;test
42;3;Ind13;04185CDFBF;10.44;m;mixed3;0;test
42;3;Ind14;04185CE762;9.88;m;mixed3;0;test
42;3;Ind15;04185D008F;10.37;f;mixed3;0;test
42;3;Ind16;04185D12B9;9.91;m;mixed3;0;test
42;3;Ind17;04185D1858;10.16;f;mixed3;0;test
42;3;Ind18;04185D1DE6;9.55;f;mixed3;0;test
43;4;Ind13;04185CDFBF;10.44;m;mixed3;0;test
43;4;Ind14;04185CE762;9.88;m;mixed3;0;test
43;4;Ind15;04185D008F;10.37;f;mixed3;0;test
43;4;Ind16;04185D12B9;9.91;m;mixed3;0;test
43;4;Ind17;04185D1858;10.16;f;mixed3;0;test
43;4;Ind18;04185D1DE6;9.55;f;mixed3;0;test
44;5;Ind13;04185CDFBF;10.44;m;mixed3;0;test
44;5;Ind14;04185CE762;9.88;m;mixed3;0;test
44;5;Ind15;04185D008F;10.37;f;mixed3;0;test
44;5;Ind16;04185D12B9;9.91;m;mixed3;0;test
44;5;Ind17;04185D1858;10.16;f;mixed3;0;test
44;5;Ind18;04185D1DE6;9.55;f;mixed3;0;test
45;6;Ind13;04185CDFBF;10.44;m;mixed3;0;test
45;6;Ind14;04185CE762;9.88;m;mixed3;0;test
45;6;Ind15;04185D008F;10.37;f;mixed3;0;test
45;6;Ind16;04185D12B9;9.91;m;mixed3;0;test
45;6;Ind17;04185D1858;10.16;f;mixed3;0;test
45;6;Ind18;04185D1DE6;9.55;f;mixed3;0;test
46;7;Ind13;04185CDFBF;10.44;m;mixed3;0;test
46;7;Ind14;04185CE762;9.88;m;mixed3;0;test
46;7;Ind15;04185D008F;10.37;f;mixed3;0;test
46;7;Ind16;04185D12B9;9.91;m;mixed3;0;test
46;7;Ind17;04185D1858;10.16;f;mixed3;0;test
46;7;Ind18;04185D1DE6;9.55;f;mixed3;0;test
47;8;Ind13;04185CDFBF;10.44;m;mixed3;0;test
47;8;Ind14;04185CE762;9.88;m;mixed3;0;test
47;8;Ind15;04185D008F;10.37;f;mixed3;0;test
47;8;Ind16;04185D12B9;9.91;m;mixed3;0;test
47;8;Ind17;04185D1858;10.16;f;mixed3;0;test
47;8;Ind18;04185D1DE6;9.55;f;mixed3;0;test
48;9;Ind13;04185CDFBF;10.44;m;mixed3;>20:50;test
48;9;Ind14;04185CE762;9.88;m;mixed3;>20:50;test
48;9;Ind15;04185D008F;10.37;f;mixed3;>20:50;test
48;9;Ind16;04185D12B9;9.91;m;mixed3;>20:50;test
48;9;Ind17;04185D1858;10.16;f;mixed3;>20:50;test
48;9;Ind18;04185D1DE6;9.55;f;mixed3;>20:50;test
49;-2;Ind19;04185CDFBF;10.33;f;mixed4;0;train
49;-2;Ind20;04185CE762;10.47;f;mixed4;0;train
49;-2;Ind21;04185D008F;8.7;m;mixed4;0;train
49;-2;Ind22;04185D12B9;8.89;m;mixed4;0;train
49;-2;Ind23;04185D1858;9.95;f;mixed4;0;train
49;-2;Ind24;04185D1DE6;9.32;m;mixed4;0;train
50;-1;Ind19;04185CDFBF;10.33;f;mixed4;0;train
50;-1;Ind20;04185CE762;10.47;f;mixed4;0;train
50;-1;Ind21;04185D008F;8.7;m;mixed4;0;train
50;-1;Ind22;04185D12B9;8.89;m;mixed4;0;train
50;-1;Ind23;04185D1858;9.95;f;mixed4;0;train
50;-1;Ind24;04185D1DE6;9.32;m;mixed4;0;train
51;0;Ind19;04185CDFBF;10.33;f;mixed4;0;train
51;0;Ind20;04185CE762;10.47;f;mixed4;0;train
51;0;Ind21;04185D008F;8.7;m;mixed4;0;train
51;0;Ind22;04185D12B9;8.89;m;mixed4;0;train
51;0;Ind23;04185D1858;9.95;f;mixed4;0;train
51;0;Ind24;04185D1DE6;9.32;m;mixed4;0;train
52;1;Ind19;04185CDFBF;10.33;f;mixed4;0;test
52;1;Ind20;04185CE762;10.47;f;mixed4;0;test
52;1;Ind21;04185D008F;8.7;m;mixed4;0;test
52;1;Ind22;04185D12B9;8.89;m;mixed4;0;test
52;1;Ind23;04185D1858;9.95;f;mixed4;0;test
52;1;Ind24;04185D1DE6;9.32;m;mixed4;0;test
53;2;Ind19;04185CDFBF;10.33;f;mixed4;0;test
53;2;Ind20;04185CE762;10.47;f;mixed4;0;test
53;2;Ind21;04185D008F;8.7;m;mixed4;0;test
53;2;Ind22;04185D12B9;8.89;m;mixed4;0;test
53;2;Ind23;04185D1858;9.95;f;mixed4;0;test
53;2;Ind24;04185D1DE6;9.32;m;mixed4;0;test
54;3;Ind19;04185CDFBF;10.33;f;mixed4;0;test
54;3;Ind20;04185CE762;10.47;f;mixed4;0;test
54;3;Ind21;04185D008F;8.7;m;mixed4;0;test
54;3;Ind22;04185D12B9;8.89;m;mixed4;0;test
54;3;Ind23;04185D1858;9.95;f;mixed4;0;test
54;3;Ind24;04185D1DE6;9.32;m;mixed4;0;test
55;4;Ind19;04185CDFBF;10.33;f;mixed4;0;test
55;4;Ind20;04185CE762;10.47;f;mixed4;0;test
55;4;Ind21;04185D008F;8.7;m;mixed4;0;test
55;4;Ind22;04185D12B9;8.89;m;mixed4;0;test
55;4;Ind23;04185D1858;9.95;f;mixed4;0;test
55;4;Ind24;04185D1DE6;9.32;m;mixed4;0;test
56;5;Ind19;04185CDFBF;10.33;f;mixed4;0;test
